ticket_date,net_weight_kg,month,day,week_number,quarter,lag_1,lag_2,rolling_7,day_of_week
4/8/2012,24010,-0.731404936,8,14,2,1.82276,-1.56989,-0.09843,1.49927
4/9/2012,13120,-0.731404936,9,15,2,0.06537,1.82230,-0.13220,-1.49927
4/10/2012,25290,-0.731404936,10,15,2,-1.06105,0.06518,0.21577,-0.99951
4/11/2012,16600,-0.731404936,11,15,2,0.19777,-1.06107,0.02140,-0.49976
4/12/2012,34750,-0.731404936,12,15,2,-0.70109,0.19756,-0.01862,0.00000
4/13/2012,8940,-0.731404936,13,15,2,1.17628,-0.70116,-0.00011,0.49976
4/14/2012,3810,-0.731404936,14,15,2,-1.49342,1.17592,-0.93045,0.99951
4/15/2012,10750,-0.731404936,15,15,2,-2.02404,-1.49336,-1.26216,1.49927
4/16/2012,19090,-0.731404936,16,16,2,-1.30620,-2.02391,-1.11282,-1.49927
4/17/2012,31020,-0.731404936,17,16,2,-0.44354,-1.30617,-0.96948,-0.99951
4/18/2012,31470,-0.731404936,18,16,2,0.79046,-0.44365,-0.59749,-0.49976
4/19/2012,33350,-0.731404936,19,16,2,0.83701,0.79016,-0.63251,0.00000
4/20/2012,30740,-0.731404936,20,16,2,1.03147,0.83670,-0.08717,0.49976
4/21/2012,23160,-0.731404936,21,16,2,0.76150,1.03113,0.39689,0.99951
4/22/2012,8110,-0.731404936,22,16,2,-0.02255,0.76120,0.33085,1.49927
4/23/2012,26720,-0.731404936,23,17,2,-1.57927,-0.02272,0.52172,-1.49927
4/24/2012,14320,-0.731404936,24,17,2,0.34568,-1.57920,0.10395,-0.99951
4/25/2012,33520,-0.731404936,25,17,2,-0.93693,0.34545,0.15524,-0.49976
4/26/2012,34100,-0.731404936,26,17,2,1.04905,-0.93696,0.17400,0.00000
4/27/2012,41100,-0.731404936,27,17,2,1.10905,1.04871,0.43316,0.49976
4/28/2012,28350,-0.731404936,28,17,2,1.83310,1.10870,0.56299,0.99951
4/29/2012,5570,-0.731404936,29,17,2,0.51429,1.83264,0.49945,1.49927
4/30/2012,29830,-0.731404936,30,18,2,-1.84200,0.51403,0.57725,-1.49927
5/1/2012,28590,-0.441451072,1,18,2,0.66737,-1.84189,0.93423,-0.99951
5/2/2012,10280,-0.441451072,2,18,2,0.53911,0.66709,0.35286,-0.49976
5/3/2012,26560,-0.441451072,3,18,2,-1.35481,0.53885,0.16424,0.00000
5/4/2012,23800,-0.441451072,4,18,2,0.32913,-1.35478,-0.26853,0.49976
5/5/2012,11480,-0.441451072,5,18,2,0.04365,0.32891,-0.69055,0.99951
5/6/2012,36710,-0.441451072,6,18,2,-1.23069,0.04346,0.08844,1.49927
5/7/2012,31880,-0.441451072,7,19,2,1.37902,-1.23068,0.13973,-1.49927
5/8/2012,9740,-0.441451072,8,19,2,0.87942,1.37862,-0.33182,-0.99951
5/9/2012,28260,-0.441451072,9,19,2,-1.41067,0.87910,0.11796,-0.49976
5/10/2012,27110,-0.441451072,10,19,2,0.50498,-1.41063,0.13172,0.00000
5/11/2012,29740,-0.441451072,11,19,2,0.38603,0.50472,0.28031,0.49976
5/12/2012,27620,-0.441451072,12,19,2,0.65806,0.38579,0.68407,0.99951
5/13/2012,11680,-0.441451072,13,19,2,0.43878,0.65778,0.05792,1.49927
5/14/2012,24510,-0.441451072,14,20,2,-1.21000,0.43853,-0.12644,-1.49927
5/15/2012,29740,-0.441451072,15,20,2,0.11709,-1.20999,0.37387,-0.99951
5/16/2012,25230,-0.441451072,16,20,2,0.65806,0.11689,0.29808,-0.49976
5/17/2012,30690,-0.441451072,17,20,2,0.19156,0.65778,0.38763,0.00000
5/18/2012,26930,-0.441451072,18,20,2,0.75633,0.19136,0.31734,0.49976
5/19/2012,18030,-0.441451072,19,20,2,0.36741,0.75603,0.07744,0.99951
5/20/2012,4870,-0.441451072,20,20,2,-0.55318,0.36717,-0.09292,1.49927
5/21/2012,29960,-0.441451072,21,21,2,-1.91440,-0.55327,0.04341,-1.49927
5/22/2012,32310,-0.441451072,22,21,2,0.68082,-1.91428,0.10771,-0.99951
5/23/2012,30250,-0.441451072,23,21,2,0.92389,0.68053,0.23328,-0.49976
5/24/2012,31680,-0.441451072,24,21,2,0.71082,0.92357,0.25805,0.00000
5/25/2012,23510,-0.441451072,25,21,2,0.85873,0.71053,0.17250,0.49976
5/26/2012,28700,-0.441451072,26,21,2,0.01365,0.85842,0.43941,0.99951
5/27/2012,7690,-0.441451072,27,21,2,0.55049,0.01347,0.50996,1.49927
5/28/2012,30070,-0.441451072,28,22,2,-1.62271,0.55022,0.51271,-1.49927
5/29/2012,28740,-0.441451072,29,22,2,0.69220,-1.62264,0.42340,-0.99951
5/30/2012,29680,-0.441451072,30,22,2,0.55463,0.69191,0.40915,-0.49976
5/31/2012,37080,-0.441451072,31,22,2,0.65186,0.55436,0.54423,0.00000
6/1/2012,25530,-0.151497208,1,22,2,1.41729,0.65158,0.59476,0.49976
6/2/2012,22690,-0.151497208,2,22,2,0.22260,1.41689,0.44442,0.99951
6/3/2012,28180,-0.151497208,3,22,2,-0.07116,0.22238,0.95699,1.49927
6/4/2012,24730,-0.151497208,4,23,2,0.49670,-0.07133,0.82341,-1.49927
6/5/2012,7490,-0.151497208,5,23,2,0.13985,0.49645,0.29182,-0.99951
6/6/2012,31910,-0.151497208,6,23,2,-1.64340,0.13965,0.34761,-0.49976
6/7/2012,33710,-0.151497208,7,23,2,0.88252,-1.64332,0.26330,0.00000
6/8/2012,21950,-0.151497208,8,23,2,1.06871,0.88220,0.17375,0.49976
6/9/2012,26670,-0.151497208,9,23,2,-0.14771,1.06836,0.27331,0.99951
6/10/2012,18980,-0.151497208,10,23,2,0.34051,-0.14786,0.04316,1.49927
6/11/2012,30980,-0.151497208,11,24,2,-0.45491,0.34028,0.19951,-1.49927
6/12/2012,23610,-0.151497208,12,24,2,0.78632,-0.45502,0.60277,-0.99951
6/13/2012,32490,-0.151497208,13,24,2,0.02400,0.78602,0.61728,-0.49976
6/14/2012,26030,-0.151497208,14,24,2,0.94251,0.02381,0.42516,0.00000
6/15/2012,25410,-0.151497208,15,24,2,0.27431,0.94219,0.51171,0.49976
6/16/2012,23490,-0.151497208,16,24,2,0.21018,0.27409,0.43216,0.99951
6/17/2012,12880,-0.151497208,17,24,2,0.01159,0.20997,0.27956,1.49927
6/18/2012,29080,-0.151497208,18,25,2,-1.08588,0.01140,0.23203,-1.49927
6/19/2012,30200,-0.151497208,19,25,2,0.58979,-1.08589,0.39689,-0.99951
6/20/2012,30790,-0.151497208,20,25,2,0.70564,0.58952,0.35436,-0.49976
6/21/2012,28670,-0.151497208,21,25,2,0.76667,0.70536,0.42040,0.00000
6/22/2012,34460,-0.151497208,22,25,2,0.54739,0.76637,0.64680,0.49976
6/23/2012,17390,-0.151497208,23,25,2,1.14628,0.54712,0.49420,0.99951
6/24/2012,13690,-0.151497208,24,25,2,-0.61938,1.14593,0.51446,1.49927
6/25/2012,28090,-0.151497208,25,26,2,-1.00209,-0.61946,0.48970,-1.49927
6/26/2012,35700,-0.151497208,26,26,2,0.48739,-1.00212,0.62728,-0.99951
6/27/2012,25730,-0.151497208,27,26,2,1.27454,0.48714,0.50070,-0.49976
6/28/2012,31400,-0.151497208,28,26,2,0.24328,1.27417,0.56900,0.00000
6/29/2012,29360,-0.151497208,29,26,2,0.82977,0.24307,0.44142,0.49976
6/30/2012,28870,-0.151497208,30,26,2,0.61876,0.82946,0.72860,0.99951
7/1/2012,24330,0.138456655,1,26,3,0.56807,0.61848,0.99477,1.49927
7/2/2012,20690,0.138456655,2,27,3,0.09847,0.56781,0.80965,-1.49927
7/3/2012,12760,0.138456655,3,27,3,-0.27804,0.09828,0.23579,-0.99951
7/4/2012,28000,0.138456655,4,27,3,-1.09829,-0.27817,0.29257,-0.49976
7/5/2012,19970,0.138456655,5,27,3,0.47808,-1.09830,0.00664,0.00000
7/6/2012,33890,0.138456655,6,27,3,-0.35251,0.47783,0.11996,0.49976
7/7/2012,23630,0.138456655,7,27,3,1.08732,-0.35264,-0.01112,0.99951
7/8/2012,22550,0.138456655,8,27,3,0.02607,1.08698,-0.05565,1.49927
7/9/2012,31170,0.138456655,9,28,3,-0.08565,0.02588,0.20652,-1.49927
7/10/2012,8980,0.138456655,10,28,3,0.80598,-0.08581,0.11196,-0.99951
7/11/2012,27320,0.138456655,11,28,3,-1.48928,0.80567,0.09495,-0.49976
7/12/2012,29480,0.138456655,12,28,3,0.40775,-1.48923,0.33285,0.00000
7/13/2012,29250,0.138456655,13,28,3,0.63117,0.40750,0.21677,0.49976
7/14/2012,22550,0.138456655,14,28,3,0.60738,0.63089,0.18976,0.99951
7/15/2012,8890,0.138456655,15,28,3,-0.08565,0.60711,-0.15196,1.49927
7/16/2012,25380,0.138456655,16,29,3,-1.49859,-0.08581,-0.29680,-1.49927
7/17/2012,20870,0.138456655,17,29,3,0.20708,-1.49853,0.00064,-0.99951
7/18/2012,33660,0.138456655,18,29,3,-0.25942,0.20687,0.15924,-0.49976
7/19/2012,32180,0.138456655,19,29,3,1.06353,-0.25956,0.22678,0.00000
7/20/2012,25950,0.138456655,20,29,3,0.91045,1.06319,0.14423,0.49976
7/21/2012,26540,0.138456655,21,29,3,0.26604,0.91013,0.24404,0.99951
7/22/2012,8840,0.138456655,22,29,3,0.32707,0.26582,0.24279,1.49927
7/23/2012,27860,0.138456655,23,30,3,-1.50376,0.32684,0.30483,-1.49927
7/24/2012,29030,0.138456655,24,30,3,0.46360,-1.50371,0.50896,-0.99951
7/25/2012,31870,0.138456655,25,30,3,0.58462,0.46335,0.46418,-0.49976
7/26/2012,30050,0.138456655,26,30,3,0.87838,0.58435,0.41090,0.00000
7/27/2012,23340,0.138456655,27,30,3,0.69013,0.87807,0.34561,0.49976
7/28/2012,17770,0.138456655,28,30,3,-0.00393,0.68984,0.12622,0.99951
7/29/2012,5180,0.138456655,29,30,3,-0.58007,-0.00411,0.03466,1.49927
7/30/2012,27670,0.138456655,30,31,3,-1.88234,-0.58016,0.02991,-1.49927
7/31/2012,29540,0.138456655,31,31,3,0.44395,-1.88222,0.04266,-0.99951
8/1/2012,10940,0.428410519,1,31,3,0.63738,0.44370,-0.48092,-0.49976
8/2/2012,31910,0.428410519,2,31,3,-1.28654,0.63710,-0.43439,0.00000
8/3/2012,31060,0.428410519,3,31,3,0.88252,-1.28652,-0.24127,0.49976
8/4/2012,17330,0.428410519,4,31,3,0.79460,0.88220,-0.25227,0.99951
8/5/2012,29850,0.428410519,5,31,3,-0.62558,0.79430,0.36487,1.49927
8/6/2012,35870,0.428410519,6,32,3,0.66944,-0.62567,0.57000,-1.49927
8/7/2012,9220,0.428410519,7,32,3,1.29213,0.66916,0.06168,-0.99951
8/8/2012,29360,0.428410519,8,32,3,-1.46445,1.29175,0.52247,-0.49976
8/9/2012,30070,0.428410519,9,32,3,0.61876,-1.46441,0.47644,0.00000
8/10/2012,26640,0.428410519,10,32,3,0.69220,0.61848,0.36587,0.49976
8/11/2012,24670,0.428410519,11,32,3,0.33741,0.69191,0.54948,0.99951
8/12/2012,24070,0.428410519,12,32,3,0.13364,0.33718,0.40489,1.49927
8/13/2012,22970,0.428410519,13,33,3,0.07158,0.13344,0.08219,-1.49927
8/14/2012,26210,0.428410519,14,33,3,-0.04220,0.07139,0.50721,-0.99951
8/15/2012,31960,0.428410519,15,33,3,0.29293,-0.04237,0.57225,-0.49976
8/16/2012,31300,0.428410519,16,33,3,0.88769,0.29271,0.60302,0.00000
8/17/2012,29920,0.428410519,17,33,3,0.81942,0.88738,0.68507,0.49976
8/18/2012,20920,0.428410519,18,33,3,0.67668,0.81912,0.59126,0.99951
8/19/2012,17050,0.428410519,19,33,3,-0.25425,0.67640,0.41565,1.49927
8/20/2012,26480,0.428410519,20,34,3,-0.65455,-0.25439,0.50346,-1.49927
8/21/2012,21900,0.428410519,21,34,3,0.32086,-0.65462,0.39564,-0.99951
8/22/2012,28350,0.428410519,22,34,3,-0.15288,0.32063,0.30533,-0.49976
8/23/2012,27630,0.428410519,23,34,3,0.51429,-0.15303,0.21352,0.00000
8/24/2012,15150,0.428410519,24,34,3,0.43981,0.51403,-0.15596,0.49976
8/25/2012,29630,0.428410519,25,34,3,-0.85108,0.43957,0.06193,0.99951
8/26/2012,2460,0.428410519,26,34,3,0.64668,-0.85112,-0.30305,1.49927
8/27/2012,30000,0.428410519,27,35,3,-2.16368,0.64641,-0.21500,-1.49927
8/28/2012,35040,0.428410519,28,35,3,0.68496,-2.16353,0.11371,-0.99951
8/29/2012,28900,0.428410519,29,35,3,1.20628,0.68467,0.12747,-0.49976
8/30/2012,31390,0.428410519,30,35,3,0.57118,1.20591,0.22153,0.00000
8/31/2012,23840,0.428410519,31,35,3,0.82873,0.57091,0.43891,0.49976
9/1/2012,26940,0.718364383,1,35,3,0.04779,0.82843,0.37162,0.99951
9/2/2012,22130,0.718364383,2,35,3,0.36844,0.04760,0.86368,1.49927
9/3/2012,27960,0.718364383,3,36,3,-0.12909,0.36820,0.81265,-1.49927
9/4/2012,24150,0.718364383,4,36,3,0.47395,-0.12925,0.54023,-0.99951
9/5/2012,32010,0.718364383,5,36,3,0.07985,0.47369,0.61803,-0.49976
9/6/2012,31080,0.718364383,6,36,3,0.89286,0.07966,0.61027,0.00000
9/7/2012,25760,0.718364383,7,36,3,0.79667,0.89255,0.65830,0.49976
9/8/2012,29180,0.718364383,8,36,3,0.24639,0.79637,0.71434,0.99951
9/9/2012,15470,0.718364383,9,36,3,0.60014,0.24617,0.54773,1.49927
9/10/2012,33790,0.718364383,10,37,3,-0.81798,0.59987,0.69358,-1.49927
9/11/2012,31410,0.718364383,11,37,3,1.07698,-0.81803,0.87519,-0.99951
9/12/2012,7080,0.718364383,12,37,3,0.83080,1.07664,0.25155,-0.49976
9/13/2012,26890,0.718364383,13,37,3,-1.68581,0.83049,0.14673,0.00000
9/14/2012,33270,0.718364383,14,37,3,0.36327,-1.68573,0.33460,0.49976
9/15/2012,25300,0.718364383,15,37,3,1.02319,0.36303,0.23754,0.99951
9/16/2012,5350,0.718364383,16,37,3,0.19881,1.02286,-0.01562,1.49927
9/17/2012,26390,0.718364383,17,38,3,-1.86475,0.19860,-0.20074,-1.49927
9/18/2012,36350,0.718364383,18,38,3,0.31155,-1.86464,-0.07716,-0.99951
9/19/2012,27040,0.718364383,19,38,3,1.34178,0.31132,0.42215,-0.49976
9/20/2012,21610,0.718364383,20,38,3,0.37878,1.34139,0.29007,0.00000
9/21/2012,27290,0.718364383,21,38,3,-0.18288,0.37855,0.14048,0.49976
9/22/2012,22190,0.718364383,22,38,3,0.40464,-0.18303,0.06268,0.99951
9/23/2012,14660,0.718364383,23,38,3,-0.12288,0.40440,0.29557,1.49927
9/24/2012,26510,0.718364383,24,39,3,-0.90176,-0.12304,0.29858,-1.49927
9/25/2012,30670,0.718364383,25,39,3,0.32396,-0.90180,0.15649,-0.99951
9/26/2012,26650,0.718364383,26,39,3,0.75426,0.32373,0.14673,-0.49976
9/27/2012,29670,0.718364383,27,39,3,0.33844,0.75396,0.34836,0.00000
9/28/2012,34610,0.718364383,28,39,3,0.65082,0.33821,0.53147,0.49976
9/29/2012,18330,0.718364383,29,39,3,1.16180,0.65054,0.43491,0.99951
9/30/2012,9710,0.718364383,30,39,3,-0.52215,1.16144,0.31108,1.49927
10/1/2012,26010,1.008318247,1,40,4,-1.41377,-0.52225,0.29858,-1.49927
10/2/2012,23140,1.008318247,2,40,4,0.27224,-1.41373,0.11021,-0.99951
10/3/2012,24060,1.008318247,3,40,4,-0.02462,0.27202,0.04542,-0.49976
10/4/2012,30250,1.008318247,4,40,4,0.07054,-0.02479,0.05992,0.00000
10/5/2012,34220,1.008318247,5,40,4,0.71082,0.07035,0.05017,0.49976
10/6/2012,13390,1.008318247,6,40,4,1.12146,0.71053,-0.07341,0.99951
10/7/2012,30040,1.008318247,7,40,4,-1.03312,1.12111,0.43516,1.49927
10/8/2012,24610,1.008318247,8,41,4,0.68909,-1.03314,0.40014,-1.49927
10/9/2012,36270,1.008318247,9,41,4,0.12743,0.68881,0.72860,-0.99951
